tax_id	GeneID	GO_ID	Evidence	Qualifier	GO_termPubMed	Category
39946	4126868	GO:0009536	IC	-	plastid	12520024	Component
39946	4126869	GO:0009536	IC	-	plastid	12520024	Component
39946	4126869	GO:0016020	RCA	-	membrane	-	Component
39946	4126869	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	4126870	GO:0009536	IC	-	plastid	12520024	Component
39946	4126872	GO:0009536	IC	-	plastid	12520024	Component
39946	4126873	GO:0009536	IC	-	plastid	12520024	Component
39946	4126875	GO:0009536	IC	-	plastid	12520024	Component
39946	4126875	GO:0016020	RCA	-	membrane	-	Component
39946	4126875	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	4126876	GO:0009536	IC	-	plastid	12520024	Component
39946	4126877	GO:0009536	IC	-	plastid	12520024	Component
39946	4126879	GO:0009536	IC	-	plastid	12520024	Component
39946	4126879	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	4126880	GO:0009536	IC	-	plastid	12520024	Component
39946	4126880	GO:0016020	RCA	-	membrane	-	Component
39946	4126881	GO:0009536	IC	-	plastid	12520024	Component
39946	4126881	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	4126882	GO:0009536	IC	-	plastid	12520024	Component
39946	4126883	GO:0009536	IC	-	plastid	12520024	Component
39946	4126884	GO:0005739	RCA	-	mitochondrion	-	Component
39946	4126884	GO:0009536	IC	-	plastid	12520024	Component
39946	4126884	GO:0016020	RCA	-	membrane	-	Component
39946	4126885	GO:0009536	IC	-	plastid	12520024	Component
39946	4126885	GO:0016020	RCA	-	membrane	-	Component
39946	4126886	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	4126886	GO:0005739	RCA	-	mitochondrion	-	Component
39946	4126886	GO:0009536	IC	-	plastid	12520024	Component
39946	4126887	GO:0009536	IC	-	plastid	12520024	Component
39946	4126888	GO:0009536	IC	-	plastid	12520024	Component
39946	4126889	GO:0009536	IC	-	plastid	12520024	Component
39946	4126889	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	4126890	GO:0009536	IC	-	plastid	12520024	Component
39946	4126892	GO:0009536	IC	-	plastid	12520024	Component
39946	4126893	GO:0009536	IC	-	plastid	12520024	Component
39946	4126894	GO:0009536	IC	-	plastid	12520024	Component
39946	4126894	GO:0016020	RCA	-	membrane	-	Component
39946	4126895	GO:0009536	IC	-	plastid	12520024	Component
39946	4126895	GO:0031410	RCA	-	cytoplasmic vesicle	-	Component
39946	4126896	GO:0009536	IC	-	plastid	12520024	Component
39946	4126897	GO:0009536	IC	-	plastid	12520024	Component
39946	4126897	GO:0016020	RCA	-	membrane	-	Component
39946	4126898	GO:0009536	IC	-	plastid	12520024	Component
39946	4126899	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	4126899	GO:0009536	IC	-	plastid	12520024	Component
39946	4126900	GO:0005739	IC	-	mitochondrion	12520024	Component
39946	4126900	GO:0009536	IC	-	plastid	12520024	Component
39946	4126901	GO:0009536	IC	-	plastid	12520024	Component
