group_id	tax_id	entrez_id
96	9606	2071
96	9913	507984
96	10090	13872
96	10116	291703
96	7955	324323
96	7227	39202
96	6239	176584
96	4932	854663
96	4896	2542174
96	3702	834139
96	3702	834138
96	4530	4325640
100	9606	2108
100	9913	521892
100	10090	110842
100	10116	300726
100	7955	325724
100	7227	36252
100	6239	172535
100	4932	856112
100	4896	2542075
100	3702	841516
100	4530	4334698
104	9606	2153
104	9913	280687
104	10090	14067
104	10116	304929
104	7955	327320
106	9606	2158
106	10090	14071
106	10116	24946
106	7955	678552
106	7955	359826
107	9606	2169
107	9913	515768
107	10090	14079
107	10116	25598
107	7955	30708
108	9606	2175
108	9913	618375
108	10090	14087
108	10116	361435
108	7955	692125
109	9606	2176
109	9913	281762
109	10090	14088
109	10116	24361
109	7955	692127
110	9606	2184
110	9913	508724
110	10090	14085
110	10116	29383
110	7955	322372
110	7227	45577
110	6239	180918
110	3702	837757
110	4530	4328618
112	9606	2206
112	9913	531987
112	10090	14126
112	10116	25316
113	9606	2235
113	9913	281158
113	10090	14151
113	10116	361338
113	7955	58215
113	7227	43757
113	4932	854347
113	4896	2539199
113	3702	817589
113	4530	4338537
115	9606	2271
115	9913	520260
115	10090	14194
115	10116	24368
115	7955	393938
115	7227	31605
115	6239	176059
115	4932	855866
115	4896	2539345
115	3702	819364
115	3702	835168
117	9606	2492
117	9913	281172
117	10090	14309
117	10116	25449
117	7955	195820
119	9606	2519
119	9913	515729
119	10090	66848
119	10116	292485
119	7955	445487
119	7227	3772574
119	6239	189173
120	9606	2523
120	9913	281174
120	10090	14343
120	10116	81919
124	9606	2581
124	9913	533428
124	10090	14420
124	10116	314360
124	7955	406385
124	6239	183002
125	9606	2584
125	9913	530855
125	10090	14635
125	10116	287835
125	7955	449829
125	3702	820239
125	4530	4336928
126	9606	2592
126	9913	506997
126	10090	14430
126	10116	298003
126	7955	791130
126	7227	33935
126	6239	175506
126	4932	852306
126	4896	2541407
129	9606	2632
129	9913	615745
129	10090	74185
129	10116	288333
129	7955	100333665
129	7955	559212
129	7227	326264
129	6239	3565201
129	4932	856705
129	3702	831769
129	3702	818212
129	4530	4329532
130	9606	2639
130	9913	506310
130	10090	270076
130	10116	364975
130	7955	393860
130	7955	450003
130	7227	33911
130	6239	174768
130	3702	824347
130	4530	4324062
130	4530	4337904
131	9606	2642
131	9913	515433
131	10090	14527
131	10116	24953
131	7955	565237
131	7955	562973
132	9606	2643
132	9913	286815
132	10090	14528
132	10116	29244
132	7955	100192219
132	7227	37415
132	6239	179472
132	4932	853183
132	4896	2542406
134	9606	2690
134	9913	280805
134	10090	14600
134	10116	25235
134	7955	100001424
136	9606	2697
136	9913	281193
136	10090	14609
136	10116	24392
136	7955	30236
